Mes,Big Data: (Todo el mundo),Apache Hadoop: (Todo el mundo),Aprendizaje automático: (Todo el mundo),Aprendizaje profundo: (Todo el mundo),Apache Spark: (Todo el mundo)
2004-01,4,1,21,1,16
2004-02,5,1,24,0,15
2004-03,4,0,26,1,10
2004-04,4,0,21,1,11
2004-05,3,0,19,1,11
2004-06,4,0,19,1,12
2004-07,5,0,17,1,10
2004-08,4,0,17,1,11
2004-09,5,0,19,1,18
2004-10,5,1,20,1,25
2004-11,3,1,19,1,19
2004-12,4,1,16,1,17
2005-01,4,1,16,1,16
2005-02,4,1,18,1,16
2005-03,4,1,17,1,17
2005-04,3,0,16,1,15
2005-05,4,0,19,1,15
2005-06,4,0,15,1,17
2005-07,4,1,12,0,15
2005-08,4,0,12,1,15
2005-09,5,1,15,1,16
2005-10,4,1,15,1,14
2005-11,3,1,15,1,14
2005-12,3,0,14,1,15
2006-01,4,0,14,1,14
2006-02,4,1,14,1,13
2006-03,3,1,13,1,13
2006-04,3,1,13,1,13
2006-05,3,1,13,1,12
2006-06,3,1,12,1,12
2006-07,3,1,9,1,12
2006-08,3,1,10,1,13
2006-09,4,2,12,1,13
2006-10,3,1,13,1,12
2006-11,3,1,13,1,11
2006-12,3,2,11,1,11
2007-01,3,2,11,1,10
2007-02,3,2,11,1,11
2007-03,3,2,13,1,12
2007-04,3,2,12,1,14
2007-05,3,2,12,1,11
2007-06,3,2,11,1,12
2007-07,3,3,10,1,11
2007-08,3,5,10,1,11
2007-09,3,4,11,1,12
2007-10,4,5,12,1,12
2007-11,3,5,12,1,12
2007-12,3,6,11,1,11
2008-01,3,6,11,1,9
2008-02,3,8,11,1,11
2008-03,3,7,10,1,12
2008-04,3,7,11,1,11
2008-05,3,7,11,1,12
2008-06,3,8,9,1,11
2008-07,3,9,9,1,12
2008-08,3,9,8,1,10
2008-09,4,8,10,1,11
2008-10,3,8,11,1,10
2008-11,4,10,11,1,11
2008-12,3,9,10,1,11
2009-01,3,8,9,1,10
2009-02,4,10,11,1,12
2009-03,4,15,11,4,12
2009-04,3,15,11,4,10
2009-05,4,13,10,4,10
2009-06,3,16,9,2,11
2009-07,4,15,13,1,10
2009-08,4,14,11,2,10
2009-09,4,14,11,1,10
2009-10,4,16,11,1,11
2009-11,4,19,11,1,10
2009-12,4,15,10,1,11
2010-01,4,16,10,1,10
2010-02,4,17,10,1,12
2010-03,4,19,11,1,13
2010-04,4,19,11,1,12
2010-05,4,20,11,1,11
2010-06,4,21,10,1,11
2010-07,4,21,9,1,11
2010-08,4,20,9,1,12
2010-09,4,22,10,1,12
2010-10,4,23,11,1,13
2010-11,4,23,11,1,12
2010-12,4,21,10,1,14
2011-01,5,21,10,1,13
2011-02,5,24,10,1,12
2011-03,5,25,10,1,12
2011-04,5,27,11,1,12
2011-05,6,27,11,1,12
2011-06,6,29,10,1,12
2011-07,6,29,9,1,12
2011-08,7,29,10,1,12
2011-09,8,31,12,1,12
2011-10,9,33,15,1,12
2011-11,10,40,14,1,11
2011-12,9,34,12,1,11
2012-01,12,34,12,1,11
2012-02,15,41,13,1,12
2012-03,17,41,13,1,11
2012-04,18,38,13,1,10
2012-05,19,41,14,1,10
2012-06,19,43,13,1,10
2012-07,19,40,12,1,9
2012-08,21,40,12,1,10
2012-09,24,40,15,2,10
2012-10,28,44,14,2,10
2012-11,29,41,14,3,10
2012-12,26,39,12,2,9
2013-01,30,42,13,2,10
2013-02,33,47,13,2,10
2013-03,38,51,14,3,10
2013-04,41,52,15,3,10
2013-05,41,49,15,3,10
2013-06,41,52,15,3,10
2013-07,40,53,14,3,10
2013-08,40,52,14,3,10
2013-09,45,52,16,4,11
2013-10,48,56,18,4,11
2013-11,48,57,17,4,12
2013-12,42,52,16,4,12
2014-01,49,54,17,4,13
2014-02,54,60,19,4,13
2014-03,57,61,19,4,14
2014-04,56,64,21,5,15
2014-05,54,60,19,5,16
2014-06,54,60,19,4,16
2014-07,57,61,19,4,18
2014-08,56,56,20,5,17
2014-09,63,61,22,5,19
2014-10,65,60,23,6,21
2014-11,63,59,23,6,20
2014-12,56,58,22,8,21
2015-01,59,58,23,8,22
2015-02,65,64,25,8,24
2015-03,69,64,26,9,26
2015-04,65,67,28,9,27
2015-05,62,61,27,10,27
2015-06,63,67,29,11,36
2015-07,58,64,29,11,32
2015-08,58,61,28,10,31
2015-09,66,66,32,11,33
2015-10,66,63,34,11,33
2015-11,65,59,37,12,34
2015-12,57,57,35,13,34
2016-01,59,54,35,16,35
2016-02,69,61,37,15,40
2016-03,67,63,42,22,42
2016-04,66,60,42,21,42
2016-05,66,58,43,20,42
2016-06,64,60,45,21,46
2016-07,58,53,41,19,42
2016-08,58,54,43,19,44
2016-09,67,57,48,21,43
2016-10,66,53,54,23,42
2016-11,69,56,57,26,46
2016-12,61,51,57,27,44
2017-01,65,53,63,30,46
2017-02,73,60,68,31,52
2017-03,75,62,75,34,56
2017-04,71,57,75,34,54
2017-05,70,56,79,36,57
2017-06,64,55,81,36,61
2017-07,61,53,77,35,59
2017-08,61,52,79,37,58
2017-09,68,52,86,39,56
2017-10,72,53,93,41,57
2017-11,74,54,98,44,62
2017-12,71,51,100,45,60
